,id,score
0,00a454da495e11e28a7322000a1fa414_6.jpg,3.901
1,00cddb96ac4c11e3a30212279ba1b65f_6.jpg,4.385
2,01cdd7aa1a1a11e2aaa822000a1fb0dd_6.jpg,4.243
3,024696bead0c11e389d50ec42b3b1b1c_6.jpg,4.169
4,026df048221a11e2b52122000a1fa4b5_6.jpg,3.873
5,02b511eed26911e2851d22000a1fb71f_6.jpg,4.458
6,02ee8060b02f11e38fe012b1c8928cc9_6.jpg,4.679
7,0303318e48cc11e2970f22000a1fbcc2_6.jpg,4.042
8,032a49b6bffb11e3b9ca0002c9dbcd18_6.jpg,3.76
9,0345a4babff911e395860002c954a07e_6.jpg,3.302
10,03d27058678811e394b70a1cf42a31d4_6.jpg,4.264
11,044c14a2bff911e396ce0002c9de8044_6.jpg,4.564
12,049a7d4eaeb611e3ace012fd0faf6414_6.jpg,4.981
13,04ed1c2ebffb11e38f8c0002c9dced72_6.jpg,5.318
14,0598ce50b1f711e3bd391271df4caaa4_6.jpg,5.932
15,05b81dfec0d011e386200002c9dc8af0_6.jpg,3.915
16,05db7b34b9aa11e1a9f71231382044a1_6.jpg,4.158
17,061897ee69b811e2896422000a1fb003_6.jpg,4.322
18,06c71a9ead0011e3879b129cfeadffe8_6.jpg,4.336
19,06eade16a91311e3910112bbf73ae200_6.jpg,4.733
20,07e0f2f2ae0d11e3a3831276c6841a0e_6.jpg,3.512
21,07f71a82232111e29ade22000a1f9bd0_6.jpg,3.471
22,08789b680ef111e39dc922000a1fbb59_6.jpg,4.835
23,0911f832bffc11e38cea0002c9bef49e_6.jpg,3.635
24,09c32e5ca83911e3a5ea0a7cffb7c5e1_6.jpg,3.563
25,09c515c4ad0611e3ae221212d5b5af4c_6.jpg,4.742
26,09cf370a997b11e38a690ed861720702_6.jpg,4.306
27,0a164a9cb82011e2982f22000a9f3c23_6.jpg,4.341
28,0a7c576672f111e29f1422000a1fbc0e_6.jpg,4.377
29,0a80403abd8b11e2bccd22000ae91234_6.jpg,4.285
30,0afcab66332e11e3926322000aaa0aa5_6.jpg,4.596
31,0b3b3e5aac3011e3b691128442c788aa_6.jpg,4.184
32,0c293e5cb3c911e3abd212eddce84025_6.jpg,4.839
33,0c5abda8a6f711e3aedb125d9a40ea40_6.jpg,4.102
34,0ce4ee9abe1911e386f10002c955f0ae_6.jpg,3.742
35,0dabcf40c0e611e388890002c9ce57aa_6.jpg,5.644
36,0deb3814d0ec11e29b6422000aa80460_6.jpg,3.123
37,0ea69de8aaf811e39e3d1241a3f957e9_6.jpg,4.62
38,0efa0f44f7b311e287c922000aeb0d21_6.jpg,2.567
39,0f04c5c2bffb11e39f0b0002c9d07a7c_6.jpg,3.56
40,0f330b14ad3e11e3ade30e574d92f38f_6.jpg,4.166
41,0f635414f5a011e2b05d22000a1f9375_6.jpg,4.47
42,10004079_1374851766130968_2065152224_a.jpg,4.394
43,10004079_1395112570767342_362745646_a.jpg,4.459
44,10004079_1437144529857040_1053812165_a.jpg,4.82
45,10004079_1477546595790322_1481298656_a.jpg,4.568
46,10004079_215814915296430_2121357552_a.jpg,4.756
47,10004079_283425641820015_1349262783_a.jpg,4.701
48,10004079_445585718920943_436891664_a.jpg,3.674
49,10004079_642830962436641_919235955_a.jpg,3.694
50,10004079_644027062329932_1635781132_a.jpg,4.078
51,10004079_685361111510616_12864975_a.jpg,4.605
52,10004079_746853488679307_1965987773_a.jpg,4.754
53,10004079_863464860346532_497520081_a.jpg,4.356
54,10004084_1382577875324394_334893506_a.jpg,4.609
55,10004084_1425149791068600_2132738309_a.jpg,4.648
56,10004084_231339117058028_2147176370_a.jpg,4.364
57,10004084_257394017798698_768303981_a.jpg,4.382
58,10004084_275512359284893_1858899520_a.jpg,4.119
59,10004084_294718917350790_1870880963_a.jpg,4.483
60,10004084_303250619828364_171545150_a.jpg,4.72
61,10004084_458659367570252_2128364309_a.jpg,4.82
62,10004084_490479724385550_825223763_a.jpg,3.629
63,10004084_506899302747244_15641344_a.jpg,4.671
64,10004084_621152414645914_1430393148_a.jpg,4.329
65,10004084_676072672456827_1887668154_a.jpg,4.699
66,10004084_743363189036874_596729900_a.jpg,4.12
67,10004084_750997008251861_260118696_a.jpg,4.152
68,10004084_762894500402385_176876052_a.jpg,4.534
69,10004084_767169593301331_790834329_a.jpg,3.683
70,10004085_1408953856037252_1857245578_a.jpg,4.434
71,10004092_134214280087075_570342198_a.jpg,4.561
72,10004092_1393712257574104_1423087836_a.jpg,4.116
73,10004092_1410211015913222_972579773_a.jpg,3.786
74,10004092_1464293763802357_95507738_a.jpg,4.896
75,10004092_212287995647683_861628286_a.jpg,3.912
76,10004092_273813302795823_1707401101_a.jpg,4.125
77,10004092_358482780968488_288993988_a.jpg,4.031
78,10004094_1403144039957338_348231293_a.jpg,5.675
79,10004103_1468914103326302_277236405_a.jpg,4.522
80,10004103_1497429407147370_2017762591_a.jpg,4.918
81,10004103_1583925098498394_1045480323_a.jpg,5.741
82,10004103_258034334376084_470548393_a.jpg,4.053
83,10004103_298952880258027_487477134_a.jpg,4.46
84,10004103_427170034085886_1306636975_a.jpg,3.449
85,10004103_496672343771989_426350733_a.jpg,4.556
86,10004103_730657770319736_1507777533_a.jpg,4.728
87,10004103_763232037034132_200580467_a.jpg,4.616
88,10004103_784876908192082_171115415_a.jpg,5.478
89,10004103_848133601868400_1654549250_a.jpg,4.718
90,10004104_495450143910460_1680949227_a.jpg,3.768
91,10004111_1418684108391435_1732380963_a.jpg,4.964
92,10004111_1458666134369005_1719203379_a.jpg,4.258
93,10004111_1463589083874958_2134699238_a.jpg,4.099
94,10004111_1487915991437018_529453936_a.jpg,4.089
95,10004111_223245464550344_34007812_a.jpg,5.574
96,10004111_232217286971335_467797713_a.jpg,5.085
97,10004111_519023201551414_1030346671_a.jpg,4.038
98,10004111_589166334513305_371877549_a.jpg,3.51
99,10004111_642435325803835_1066028831_a.jpg,4.307
100,10004111_737838749582793_1234145479_a.jpg,3.839
101,10004111_746296435404222_446055278_a.jpg,4.73
102,10004113_1401067366835148_2059786719_a.jpg,4.707
